Rank,Player,Team,Salary
1,Kobe Bryant,LAL,25000000
2,Joe Johnson,BRK,24894863
3,LeBron James,CLE,22971000
4,Carmelo Anthony,NYK,22875000
5,Dwight Howard,HOU,22359364
6,Chris Bosh,MIA,22192730
7,Chris Paul,LAC,21468696
8,Kevin Durant,OKC,20158622
9,Derrick Rose,CHI,20093063
10,Dwyane Wade,MIA,20000000
11,Brook Lopez,BRK,20000000
12,Marc Gasol,MEM,19700000
13,LaMarcus Aldridge,SAS,19500000
14,DeAndre Jordan,LAC,19500000
15,Kevin Love,CLE,19500000
16,Paul Millsap,ATL,19000000
17,Blake Griffin,LAC,18907725
18,Paul George,IND,17120106
19,Russell Westbrook,OKC,16744218
20,Kawhi Leonard,SAS,16500000
21,Enes Kanter,OKC,16400000
22,Greg Monroe,MIL,16400000
23,Wesley Matthews,DAL,16400000
24,Tobias Harris,ORL,16000000
25,John Wall,WAS,15851950
26,James Harden,HOU,15756438
27,Eric Gordon,NOP,15514031
28,Roy Hibbert,LAL,15500000
29,Klay Thompson,GSW,15500000
30,David Lee,BOS,15493680
31,Gordon Hayward,UTA,15409570
32,Chandler Parsons,DAL,15361500
33,Jimmy Butler,CHI,15260000
34,Khris Middleton,MIL,15000000
35,Goran Dragic,MIA,14780000
36,Kyrie Irving,CLE,14746000
37,DeMarcus Cousins,SAC,14728844
38,Draymond Green,GSW,14300000
39,Reggie Jackson,DET,14000000
40,Danilo Gallinari,DEN,14000000
41,Al Jefferson,CHO,13833333
42,DeMarre Carroll,TOR,13500000
43,Tony Parker,SAS,13437500
44,Joakim Noah,CHI,13400000
45,Eric Bledsoe,PHO,13086957
46,Nene Hilario,WAS,13000000
47,Tyson Chandler,PHO,13000000
48,Robin Lopez,NYK,13000000
49,Ty Lawson,HOU,12404495
50,Rudy Gay,SAC,12403101
51,Ricky Rubio,MIN,12365000
52,Serge Ibaka,OKC,12350000
53,Nicolas Batum,CHO,12235750
54,Nikola Pekovic,MIN,12100000
55,Kyle Lowry,TOR,12000000
56,Brandon Knight,PHO,12000000
57,JaVale McGee,PHI,12000000
58,Andrew Bogut,GSW,12000000
59,Kemba Walker,CHO,12000000
60,Amir Johnson,BOS,12000000
61,Al Horford,ATL,12000000
62,Derrick Favors,UTA,11933333
63,Andre Iguodala,GSW,11710456
64,Stephen Curry,GSW,11370786
65,Nikola Vucevic,ORL,11250000
66,Kenneth Faried,DEN,11235955
67,Tyreke Evans,NOP,11227000
68,Marcin Gortat,WAS,11217391
69,Thaddeus Young,BRK,11200000
70,Omer Asik,NOP,11000000
71,Jrue Holiday,NOP,10595507
72,Wilson Chandler,DEN,10500000
73,Monta Ellis,IND,10300000
74,Luol Deng,MIA,10151612
75,Gerald Wallace,PHI,10105855
76,Danny Green,SAS,10000000
77,Zach Randolph,MEM,9638555
78,Anderson Varejao,CLE,9638554
79,Mike Conley,MEM,9588426
80,DeMar DeRozan,TOR,9500000
81,Rajon Rondo,SAC,9500000
82,Alec Burks,UTA,9213484
83,Jeff Green,MEM,9200000
84,Lance Stephenson,LAC,9000000
85,Iman Shumpert,CLE,9000000
86,Ryan Anderson,NOP,8500000
87,Kevin Garnett,MIN,8500000
88,Taj Gibson,CHI,8500000
89,Tiago Splitter,ATL,8500000
90,Brandon Jennings,DET,8344497
91,Dirk Nowitzki,DAL,8333334
92,Corey Brewer,HOU,8200000
93,Trevor Ariza,HOU,8193030
94,Markieff Morris,PHO,8000000
95,Arron Afflalo,NYK,8000000
96,O.J. Mayo,MIL,8000000
97,George Hill,IND,8000000
98,Jeff Teague,ATL,8000000
99,Ersan Ilyasova,DET,7900000
100,Channing Frye,ORL,7807579
101,Avery Bradley,BOS,7730337
102,Kosta Koufos,SAC,7500000
103,Al-Farouq Aminu,POR,7500000
104,Pau Gasol,CHI,7448760
105,Jose Calderon,NYK,7402812
106,Kevin Martin,MIN,7085000
107,Anthony Davis,NOP,7070730
108,Cory Joseph,TOR,7000000
109,Boris Diaw,SAS,7000000
110,Ed Davis,POR,7000000
111,Lou Williams,LAL,7000000
112,Marvin Williams,CHO,7000000
113,Isaiah Thomas,BOS,6912869
114,J.J. Redick,LAC,6867000
115,Greivis Vasquez,MIL,6600000
116,Carl Landry,PHI,6500000
117,Rodney Stuckey,IND,6500000
118,Patrick Beverley,HOU,6500000
119,Aron Baynes,DET,6500000
120,Jason Thompson,GSW,6431250
121,Marco Belinelli,SAC,6333333
122,Michael Kidd-Gilchrist,CHO,6331404
123,Jarrett Jack,BRK,6300000
124,Jodie Meeks,DET,6270000
125,Patrick Patterson,TOR,6268675
126,Gerald Henderson,POR,6000000
127,Jae Crowder,BOS,6000000
128,Anthony Bennett,MIN,5803560
129,Andrew Wiggins,MIN,5758680
130,Kyle Korver,ATL,5746479
131,Karl-Anthony Towns,MIN,5703600
132,Bradley Beal,WAS,5694674
133,Courtney Lee,MEM,5675000
134,Jamal Crawford,LAC,5675000
135,Martell Webster,WAS,5613500
136,J.J. Hickson,DEN,5613500
137,Josh McRoberts,MIA,5543725
138,Shaun Livingston,GSW,5543725
139,Spencer Hawes,CHO,5543725
140,Nikola Mirotic,CHI,5543725
141,P.J. Tucker,PHO,5500000
142,Mirza Teletovic,PHO,5500000
143,Brandan Wright,MEM,5500000
144,Deron Williams,DAL,5500000
145,Deron Williams,BRK,5500000
146,Josh Smith,DET,5400000
147,Nick Young,LAL,5219169
148,Zaza Pachulia,DAL,5200000
149,Victor Oladipo,ORL,5192520
150,Tony Allen,MEM,5168539
151,Jabari Parker,MIL,5152440
152,Dion Waiters,OKC,5138430
153,D'Angelo Russell,LAL,5103120
154,Darren Collison,SAC,5013559
155,Tim Duncan,SAS,5000000
156,Chris Kaman,POR,5000000
157,C.J. Watson,ORL,5000000
158,Kyle Singler,OKC,5000000
159,Chris Andersen,MIA,5000000
160,Chase Budinger,IND,5000000
161,Marcus Morris,DET,5000000
162,J.R. Smith,CLE,5000000
163,Jonas Jerebko,BOS,5000000
164,Timofey Mozgov,CLE,4950000
165,Derrick Williams,NYK,4900000
166,Trevor Booker,UTA,4775000
167,Otto Porter,WAS,4662960
168,Jonas Valanciunas,TOR,4660482
169,Joel Embiid,PHI,4626960
170,Kris Humphries,WAS,4600000
171,Kostas Papanikolaou,DEN,4600000
172,Jahlil Okafor,PHI,4582680
173,Jameer Nelson,DEN,4500000
174,Mike Dunleavy,CHI,4500000
175,C.J. Miles,IND,4394225
176,Jason Smith,ORL,4300000
177,Alexis Ajinca,NOP,4300000
178,Mario Chalmers,MIA,4300000
179,Jared Dudley,WAS,4250000
180,Damian Lillard,POR,4236287
181,Cody Zeller,CHO,4204200
182,Aaron Gordon,ORL,4171680
183,Kristaps Porzingis,NYK,4131720
184,Vince Carter,MEM,4088091
185,Devin Harris,DAL,4053000
186,Alan Anderson,WAS,4000000
187,Nemanja Bjelica,MIN,4000000
188,Jordan Hill,IND,4000000
189,Ian Mahinmi,IND,4000000
190,J.J. Barea,DAL,4000000
191,Thabo Sefolosha,ATL,4000000
192,Raymond Felton,DAL,3950313
193,Harrison Barnes,GSW,3873398
194,Marreese Speights,GSW,3815000
195,Alex Len,PHO,3807120
196,Dante Exum,UTA,3777720
197,Nick Collison,OKC,3750000
198,Steve Novak,OKC,3750000
199,Kyle O'Quinn,NYK,3750000
200,Mario Hezonja,ORL,3741480
201,Lavoy Allen,IND,3700000
202,Patrick Mills,SAS,3578947
203,Terrence Ross,TOR,3553917
204,Matt Barnes,MEM,3542500
205,Nerlens Noel,PHI,3457800
206,Marcus Smart,BOS,3431040
207,Bojan Bogdanovic,BRK,3425510
208,Evan Turner,BOS,3425510
209,Paul Pierce,LAC,3400000
210,Willie Cauley-Stein,SAC,3398280
211,Quincy Pondexter,NOP,3382023
212,Anthony Morrow,OKC,3344000
213,K.J. McDaniels,HOU,3333333
214,Will Barton,DEN,3333333
215,Mike Scott,ATL,3333333
216,Drew Gooden,WAS,3300000
217,Andre Drummond,DET,3272091
218,Randy Foye,DEN,3270000
219,Ben McLemore,SAC,3156600
220,Julius Randle,LAL,3132240
221,Emmanuel Mudiay,DEN,3102240
222,Austin Rivers,LAC,3100000
223,Meyers Leonard,POR,3075880
224,Norris Cole,NOP,3036927
225,Jeremy Lamb,CHO,3034356
226,Tibor Pleiss,UTA,3000000
227,Bismack Biyombo,TOR,3000000
228,Luis Scola,TOR,3000000
229,Omri Casspi,SAC,3000000
230,Furkan Aldemir,PHI,3000000
231,D.J. Augustin,OKC,3000000
232,Dante Cunningham,NOP,3000000
233,Jerryd Bayless,MIL,3000000
234,Brandon Bass,LAL,3000000
235,Anthony Tolliver,DET,3000000
236,John Henson,MIL,2943221
237,Maurice Harkless,POR,2894059
238,Kentavious Caldwell-Pope,DET,2891760
239,Kirk Hinrich,CHI,2870000
240,Nik Stauskas,PHI,2869440
241,Mike Miller,POR,2854940
242,Udonis Haslem,MIA,2854940
243,Brian Roberts,CHO,2854940
244,Stanley Johnson,DET,2841960
245,Manu Ginobili,SAS,2814000
246,Darrell Arthur,DEN,2814000
247,Sonny Weems,PHO,2800000
248,Kevin Seraphin,NYK,2800000
249,Trey Burke,UTA,2658240
250,Noah Vonleh,POR,2637720
251,Tyler Zeller,BOS,2616975
252,Frank Kaminsky,CHO,2612500
253,C.J. McCollum,POR,2525160
254,Elfrid Payton,ORL,2505720
255,James Johnson,TOR,2500000
256,Leandro Barbosa,GSW,2500000
257,Joel Anthony,DET,2500000
258,Terrence Jones,HOU,2489530
259,Justise Winslow,MIA,2481720
260,Shelvin Mack,ATL,2433333
261,Michael Carter-Williams,MIL,2399040
262,Andrew Nicholson,ORL,2380594
263,Doug McDermott,CHI,2380440
264,Myles Turner,IND,2357760
265,Evan Fournier,ORL,2288205
266,Donatas Motiejunas,HOU,2288205
267,Steven Adams,OKC,2279040
268,Jared Sullinger,BOS,2269260
269,Joe Ingles,UTA,2250000
270,Trey Lyles,UTA,2239800
271,Tony Wroten,PHI,2179354
272,Ramon Sessions,WAS,2170465
273,Beno Udrih,MEM,2170465
274,Danny Granger,DET,2170465
275,Steve Blake,DET,2170465
276,Larry Sanders,MIL,2170000
277,Kelly Olynyk,BOS,2165160
278,Zach LaVine,MIN,2148360
279,Kendall Marshall,PHI,2144722
280,Devin Booker,PHO,2127840
281,Miles Plumlee,MIL,2109294
282,Gary Neal,WAS,2100000
283,Mo Williams,CLE,2100000
284,Jeremy Lin,CHO,2100000
285,Shabazz Muhammad,MIN,2056920
286,Zoran Dragic,BOS,2050397
287,T.J. Warren,PHO,2041080
288,Perry Jones,BOS,2038206
289,Cameron Payne,OKC,2021520
290,Festus Ezeli,GSW,2008748
291,DeJuan Blair,WAS,2000000
292,Aaron Brooks,CHI,2000000
293,Kent Bazemore,ATL,2000000
294,Giannis Antetokounmpo,MIL,1953960
295,Adreian Payne,MIN,1938840
296,Kelly Oubre,WAS,1920240
297,Lucas Nogueira,TOR,1842000
298,Jusuf Nurkic,DEN,1842000
299,Terry Rozier,BOS,1824360
300,Dennis Schroder,ATL,1763400
301,James Young,BOS,1749840
302,Rashad Vaughn,MIL,1733040
303,Ryan Kelly,LAL,1724250
304,Joffrey Lauvergne,DEN,1709720
305,Tyler Ennis,MIL,1662360
306,Lou Amundson,NYK,1650000
307,Lance Thomas,NYK,1650000
308,Sam Dekker,HOU,1646400
309,Sergey Karasev,BRK,1599840
310,Gary Harris,DEN,1587480
311,Jerian Grant,NYK,1572360
312,Tony Snell,CHI,1535880
313,Bruno Caboclo,TOR,1524000
314,Delon Wright,TOR,1509360
315,Shane Larkin,BRK,1500000
316,Wayne Ellington,BRK,1500000
317,Kendrick Perkins,NOP,1499200
318,Matt Bonner,SAS,1499190
319,Caron Butler,SAC,1499187
320,Ronnie Price,PHO,1499187
321,Tayshaun Prince,MIN,1499187
322,Andre Miller,MIN,1499187
323,Amar'e Stoudemire,MIA,1499187
324,Chuck Hayes,LAC,1499187
325,Jason Terry,HOU,1499187
326,Samuel Dalembert,DAL,1499187
327,Charlie Villanueva,DAL,1499187
328,Dahntay Jones,BRK,1499187
329,Jason Richardson,ATL,1499187
330,David West,SAS,1499000
331,Josh Smith,LAC,1499000
332,James Jones,CLE,1499000
333,Richard Jefferson,CLE,1499000
334,Gorgui Dieng,MIN,1474440
335,Mitch McGary,OKC,1463040
336,Justin Anderson,DAL,1449000
337,Mason Plumlee,POR,1415520
338,Jordan Adams,MEM,1404600
339,Bobby Portis,CHI,1391160
340,Alonzo Gee,NOP,1375000
341,Andrea Bargnani,BRK,1362900
342,Solomon Hill,IND,1358880
343,Sasha Vujacic,NYK,1356146
344,Josh Powell,MIL,1356146
345,Aaron Gray,DET,1356146
346,Gerald Green,MIA,1356000
347,Rodney Hood,UTA,1348440
348,Rondae Hollis-Jefferson,BRK,1335480
349,Tim Hardaway,ATL,1304520
350,Nikola Jokic,DEN,1300000
351,Alexander Kaun,CLE,1300000
352,Shabazz Napier,ORL,1294440
353,Tyus Jones,MIN,1282080
354,Brandon Rush,GSW,1270964
355,Cartier Martin,DET,1270964
356,JaVale McGee,DAL,1270964
357,Reggie Bullock,DET,1252440
358,Clint Capela,HOU,1242720
359,Jarell Martin,MEM,1230840
360,Andre Roberson,OKC,1210800
361,P.J. Hairston,CHO,1201440
362,Boban Marjanovic,SAS,1200000
363,Jordan Mickey,BOS,1200000
364,Marcus Thornton,HOU,1186000
365,Reggie Williams,SAS,1185784
366,Toney Douglas,IND,1185784
367,Tyler Hansbrough,CHO,1185784
368,Rudy Gobert,UTA,1175880
369,Archie Goodwin,PHO,1160160
370,C.J. Wilcox,LAC,1159680
371,Larry Nance Jr.,LAL,1155600
372,Damjan Rudez,MIN,1149500
373,R.J. Hunter,BOS,1148640
374,Matthew Dellavedova,CLE,1147280
375,Kyle Anderson,SAS,1142879
