TEAM,NAME,EXPERIENCE,POSITION,AGE,HT,WT,PPG_LAST_SEASON,APG_LAST_SEASON,RPG_LAST_SEASON,PER_LAST_SEASON,PPG_CAREER,APG_CAREER,RGP_CAREER,GP,MPG,FGM_FGA,FGP,THM_THA,THP,FTM_FTA,FTP,APG,BLKPG,STLPG,TOPG,PPG,Salary
Boston Celtics,Aron Baynes,6,SF,31,208.28,117.65,6,1.1,5.4,12.09,5.4,0.7,4.4,376,15,2.2-4.3,0.502,0.0-0.1,0.143,1.0-1.3,0.802,0.7,0.5,0.2,0.8,5.4,5193600
Boston Celtics,Jabari Bird,1,SG,24,198.12,89.59,3,0.6,1.5,12.18,3,0.6,1.5,13,8.8,1.2-2.0,0.577,0.2-0.5,0.429,0.5-1.0,0.462,0.6,0.1,0.2,0.6,3,1349464
Boston Celtics,Jaylen Brown,2,F,21,200.66,99.55,14.5,1.6,4.9,13.69,10.4,1.2,3.8,148,23.6,3.8-8.3,0.461,1.1-3.0,0.379,1.6-2.4,0.658,1.2,0.3,0.7,1.3,10.4,5169960
Boston Celtics,Gordon Hayward,8,SF,28,203.2,101.81,2,0,1,7.43,15.6,3.4,4.2,517,31.3,5.3-11.9,0.444,1.3-3.6,0.368,3.8-4.6,0.82,3.4,0.4,1,2,15.6,31214295
Boston Celtics,Al Horford,11,PF,32,208.28,110.86,12.9,7.4,1.1,17.63,14.2,8.6,1.2,718,33.2,6.0-11.4,0.525,0.4-1.1,0.37,1.8-2.4,0.75,3.2,1.2,0.8,1.6,14.2,28928709
Boston Celtics,Kyrie Irving,7,PG,26,190.5,87.33,24.4,5.1,3.8,25.03,22,5.5,3.4,441,33.9,8.0-17.4,0.462,2.0-5.2,0.388,3.9-4.5,0.875,5.5,0.3,1.3,2.7,22,20099189
Boston Celtics,Marcus Morris,7,PF,29,205.74,106.33,13.6,5.4,0.2,14.57,11.2,4.4,0.2,470,26.3,4.1-9.7,0.428,1.3-3.6,0.357,1.6-2.1,0.731,1.5,0.2,0.7,1.2,11.2,5375000
Boston Celtics,Semi Ojeleye,1,PF,23,200.66,109.05,2.7,2.2,0.1,4.57,2.7,2.2,0.1,73,15.8,0.9-2.6,0.346,0.5-1.7,0.32,0.3-0.6,0.61,0.3,0.1,0.3,0.3,2.7,1378242
Boston Celtics,Terry Rozier,3,PG,24,185.42,85.97,11.3,2.9,4.7,15.12,7.2,2.1,3.5,193,18.9,2.6-6.8,0.377,1.1-3.2,0.355,0.9-1.2,0.773,2.1,0.2,0.7,0.8,7.2,3050390
Boston Celtics,Marcus Smart,4,PG,24,193.04,99.55,10.2,4.8,3.5,10.83,9.4,3.9,3.7,261,28.7,3.1-8.7,0.36,1.2-4.2,0.293,2.0-2.6,0.756,3.9,0.4,1.5,1.8,9.4,11660716
