"","mean","lower_bound","upper_bound","left_tail_percentage"
"conf.int",7157753.69333333,5259072.37655427,9056435.01011239,0.52
"conf.int",7314147.66666667,5624774.06046471,9003521.27286863,0.52
"conf.int",7839282.14666667,6146259.86817823,9532304.42515511,0.52
"conf.int",8258774.53333333,6420309.39326961,10097239.6733971,0.52
"conf.int",6768372.8,5185979.42109732,8350766.17890268,0.52
"conf.int",8546193.22666667,6548044.72481199,10544341.7285213,0.52
"conf.int",6461143.36,4975562.44102466,7946724.27897534,0.52
"conf.int",6238548.89333333,4753916.99191734,7723180.79474932,0.52
"conf.int",8318302.24,6290591.9659407,10346012.5140593,0.52
"conf.int",7692661.38666667,5929162.94592348,9456159.82740985,0.52
"conf.int",6512869.08,4671424.30481809,8354313.85518191,0.52
"conf.int",7900832.21333333,6031541.09352692,9770123.33313974,0.52
"conf.int",8223528.37333333,6267661.18436395,10179395.5623027,0.52
"conf.int",7105447.85333333,5137633.91158964,9073261.79507703,0.52
"conf.int",8361206.06666667,6249271.76940535,10473140.363928,0.52
"conf.int",8445464.48,6771883.46672301,10119045.493277,0.52
"conf.int",7828234.05333333,5984559.59547963,9671908.51118704,0.52
"conf.int",7853607.08,5976300.75913729,9730913.40086271,0.52
"conf.int",8582038.08,6663589.87548172,10500486.2845183,0.52
"conf.int",7909931.21333333,6001018.01679151,9818844.40987516,0.52
"conf.int",9016569.86666667,7019485.28016837,11013654.453165,0.52
"conf.int",9846803.65333333,7666818.07768792,12026789.2289787,0.52
"conf.int",9152975.62666667,6967733.38866897,11338217.8646644,0.52
"conf.int",8290179.06666667,6502571.60945383,10077786.5238795,0.52
"conf.int",7486763.17333333,5744851.3721843,9228674.97448236,0.52
"conf.int",8388370.4,6465345.75291132,10311395.0470887,0.52
"conf.int",9109180.2,7186170.47246974,11032189.9275303,0.52
"conf.int",7479868.94666667,5810103.91422994,9149633.97910339,0.52
"conf.int",9199350.78666667,7331580.74897128,11067120.8243621,0.52
"conf.int",8983184.72,7002461.24354777,10963908.1964522,0.52
"conf.int",6520151.14666667,4801917.8447561,8238384.44857723,0.52
"conf.int",9159993.10666667,7260452.88564908,11059533.3276843,0.52
"conf.int",8479204.22666667,6641571.21956503,10316837.2337683,0.52
"conf.int",6499184.16,4852113.75367505,8146254.56632494,0.52
"conf.int",8639763.6,6640505.22863193,10639021.9713681,0.52
"conf.int",6806491.89333333,5186049.01493136,8426934.77173531,0.52
"conf.int",7967950.50666667,6095104.83613998,9840796.17719336,0.52
"conf.int",7900510.09333333,5997706.15843487,9803314.02823179,0.52
"conf.int",7935339.61333333,5953639.63849559,9917039.58817108,0.52
"conf.int",8535221.84,6458939.89333764,10611503.7866624,0.52
"conf.int",9074705.72,6882564.21848939,11266847.2215106,0.52
"conf.int",7841173.84,5799245.09428423,9883102.58571577,0.52
"conf.int",7510967.14666667,5702372.44567174,9319561.84766159,0.52
"conf.int",6718509.78666667,5012542.17396664,8424477.39936669,0.52
"conf.int",8050737.06666667,6019273.59638394,10082200.5369494,0.52
"conf.int",9098322.12,7173971.09444505,11022673.145555,0.52
"conf.int",6229529.68,4767159.13311137,7691900.22688863,0.52
"conf.int",6004299.24,4397170.88151922,7611427.59848078,0.52
"conf.int",7663957.08,5781663.74739828,9546250.41260172,0.52
"conf.int",7913322.48,6091087.76836544,9735557.19163456,0.52
"conf.int",7423354.06666667,5821625.94673729,9025082.18659604,0.52
"conf.int",7405679.93333333,5656003.78531338,9155356.08135329,0.52
"conf.int",8135420.89333333,6579624.95592704,9691216.83073963,0.52
"conf.int",8096023.57333333,6323161.58976995,9868885.55689672,0.52
"conf.int",8317606.37333333,6301212.41341549,10334000.3332512,0.52
"conf.int",8139583.01333333,6147884.42321519,10131281.6034515,0.52
"conf.int",7503954.01333333,5748480.53491746,9259427.49174921,0.52
"conf.int",6489166.18666667,4709820.088719,8268512.28461434,0.52
"conf.int",7751958.2,5832863.08829318,9671053.31170682,0.52
"conf.int",6944209.6,5268575.30726334,8619843.89273665,0.52
"conf.int",6560423.70666667,4985348.86800874,8135498.5453246,0.52
"conf.int",8410455.4,6467205.68273094,10353705.1172691,0.52
"conf.int",8385971.34666667,6393493.49123145,10378449.2021019,0.52
"conf.int",10323446.92,8219674.99259891,12427218.8474011,0.52
"conf.int",7621555.34666667,5850908.57891662,9392202.11441672,0.52
"conf.int",9324094.65333333,7332826.21823967,11315363.088427,0.52
"conf.int",7654973.50666667,5737950.71338013,9571996.2999532,0.52
"conf.int",7841199.76,5931585.95245626,9750813.56754374,0.52
"conf.int",7557975.65333333,5877358.73578008,9238592.57088659,0.52
"conf.int",8665092.8,6670875.66152841,10659309.9384716,0.52
"conf.int",7947487.52,6093255.57828313,9801719.46171687,0.52
"conf.int",9471593.30666667,7249468.86427931,11693717.749054,0.52
"conf.int",7388876.24,5617483.42351498,9160269.05648503,0.52
"conf.int",7566780.17333333,5514913.77127598,9618646.57539069,0.52
"conf.int",7609215.97333333,5836186.20831246,9382245.73835421,0.52
"conf.int",8808621.69333333,6668562.24989568,10948681.136771,0.52
"conf.int",6348103.16,4883826.12206541,7812380.19793459,0.52
"conf.int",8129939.48,6054580.86076283,10205298.0992372,0.52
"conf.int",7481173.64,5722924.76561732,9239422.51438268,0.52
"conf.int",6631955.58666667,5060697.03877395,8203214.13455938,0.52
"conf.int",6932798.64,5216520.71914638,8649076.56085362,0.52
"conf.int",9242302.81333333,7246909.29771801,11237696.3289487,0.52
"conf.int",6978785.49333333,5260458.59402369,8697112.39264298,0.52
"conf.int",8080098.2,6183826.86982953,9976369.53017047,0.52
"conf.int",7457508.81333333,5544840.02181596,9370177.6048507,0.52
"conf.int",7132581.98666667,5304421.71834448,8960742.25498886,0.52
"conf.int",7510684.08,5836180.17132899,9185187.98867101,0.52
"conf.int",7885752.62666667,6127495.77709021,9644009.47624313,0.52
"conf.int",6608075.98666667,5055482.77036799,8160669.20296534,0.52
"conf.int",7720336.8,5805704.82635877,9634968.77364123,0.52
"conf.int",6791214.98666667,5102670.17499432,8479759.79833901,0.52
"conf.int",7285962.01333333,5586263.22873621,8985660.79793045,0.52
"conf.int",9121793.96,6752211.36054458,11491376.5594554,0.52
"conf.int",6553023,4896910.66886729,8209135.33113271,0.52
"conf.int",7672223.48,5712478.6309749,9631968.3290251,0.52
"conf.int",6850605.69333333,5348922.87704225,8352288.50962442,0.52
"conf.int",6800383.36,5091402.1025021,8509364.6174979,0.52
"conf.int",8123096.42666667,6161177.9604306,10085014.8929027,0.52
"conf.int",6801513.62666667,5233628.93126534,8369398.32206799,0.52
"conf.int",6844565,5125993.82334673,8563136.17665327,0.52
"conf.int",7100313.92,5399916.70663051,8800711.13336949,0.52
"conf.int",7870343.65333333,5932660.89732865,9808026.40933801,0.52
"conf.int",9677320.4,7504972.07945555,11849668.7205445,0.52
"conf.int",7965742.26666667,6083016.50429871,9848468.02903463,0.52
"conf.int",6503972.13333333,4878539.85602299,8129404.41064367,0.52
"conf.int",7185088.10666667,5440966.29035566,8929209.92297767,0.52
"conf.int",7896412.37333333,6066073.71864136,9726751.0280253,0.52
"conf.int",7619049.73333333,5626814.10714446,9611285.35952221,0.52
"conf.int",7651318.84,5955176.07970303,9347461.60029697,0.52
"conf.int",8027805.73333333,5938451.86163729,10117159.6050294,0.52
"conf.int",6615092.04,5114106.45989132,8116077.62010868,0.52
"conf.int",6642143.70666667,4872957.66032999,8411329.75300335,0.52
"conf.int",7045251.53333333,5148562.7710836,8941940.29558307,0.52
"conf.int",8210392.65333333,6380546.94542508,10040238.3612416,0.52
"conf.int",8099964.34666667,6351787.83648476,9848140.85684857,0.52
"conf.int",8591437.74666667,6559581.61695759,10623293.8763757,0.52
"conf.int",7856270.22666667,5971689.57404544,9740850.87928789,0.52
"conf.int",9430592.16,7410302.3805112,11450881.9394888,0.52
"conf.int",7891644.97333333,6188474.99182369,9594814.95484298,0.52
"conf.int",8362478.2,6594823.1138846,10130133.2861154,0.52
"conf.int",7530337.81333333,5898752.28651511,9161923.34015156,0.52
"conf.int",8112377.46666667,6385356.24349155,9839398.68984178,0.52
"conf.int",8248959.92,6240201.36305369,10257718.4769463,0.52
"conf.int",6438855.61333333,4896952.06133429,7980759.16533238,0.52
"conf.int",7126931.42666667,5596345.29913148,8657517.55420185,0.52
"conf.int",8199589.77333333,6237862.94854514,10161316.5981215,0.52
"conf.int",8390015.90666667,6587842.16293164,10192189.6504017,0.52
"conf.int",8188555.56,6218629.26255978,10158481.8574402,0.52
"conf.int",6787483.68,5350409.82069497,8224557.53930502,0.52
"conf.int",7549857.98666667,5968921.19482869,9130794.77850464,0.52
"conf.int",7052750.46666667,5222113.23471211,8883387.69862122,0.52
"conf.int",6709377.21333333,5028041.67446595,8390712.75220072,0.52
"conf.int",6854567.13333333,5062355.21230773,8646779.05435894,0.52
"conf.int",8871431.18666667,6830532.87963507,10912329.4936983,0.52
"conf.int",7149188.41333333,5330956.42583019,8967420.40083647,0.52
"conf.int",7175613.08,5404545.28594676,8946680.87405323,0.52
"conf.int",8478445.29333333,6639421.15751881,10317469.4291479,0.52
"conf.int",8101036.21333333,6235414.24541499,9966658.18125168,0.52
"conf.int",9315979.85333333,7383453.72766867,11248505.978998,0.52
"conf.int",7813918.66666667,6033909.53633297,9593927.79700037,0.52
"conf.int",7325975.69333333,5594925.46400884,9057025.92265783,0.52
"conf.int",7347011.05333333,5594944.01275345,9099078.09391321,0.52
"conf.int",8367369.50666667,6471613.04578465,10263125.9675487,0.52
"conf.int",6167673.18666667,4822624.44402154,7512721.92931179,0.52
"conf.int",8299042.92,6357026.2274542,10241059.6125458,0.52
"conf.int",7672999.44,5857552.70439032,9488446.17560968,0.52
"conf.int",7155945.61333333,5381587.49045424,8930303.73621243,0.52
