"","mean","lower_bound","upper_bound","left_tail_percentage"
"conf.int",6326.9,4108.3331349982,8545.4668650018,0.5308
"conf.int",5443.63333333333,2328.77177966283,8558.49488700384,0.5308
"conf.int",4078.36666666667,2013.00176540269,6143.73156793064,0.5308
"conf.int",4851.23333333333,2923.24986455312,6779.21680211355,0.5308
"conf.int",3600.66666666667,1878.99020098664,5322.34313234669,0.5308
"conf.int",6706.56666666667,3651.10280021054,9762.03053312279,0.5308
"conf.int",5807.5,2251.52647285474,9363.47352714526,0.5308
"conf.int",5385.86666666667,3305.88646109276,7465.84687224058,0.5308
"conf.int",5261.33333333333,2474.89260359356,8047.7740630731,0.5308
"conf.int",3940.3,2056.73888288672,5823.86111711328,0.5308
"conf.int",6502.26666666667,3922.67490254356,9081.85843078977,0.5308
"conf.int",4479.73333333333,2257.87197381937,6701.5946928473,0.5308
"conf.int",4603.4,2681.88328588604,6524.91671411396,0.5308
"conf.int",7313.8,3986.04606717249,10641.5539328275,0.5308
"conf.int",5915.53333333333,3018.40458509823,8812.66208156844,0.5308
"conf.int",7608.46666666667,3871.84585046195,11345.0874828714,0.5308
"conf.int",5664.7,2413.9768338145,8915.4231661855,0.5308
"conf.int",5719.9,2991.59258423045,8448.20741576955,0.5308
"conf.int",4950.13333333333,2761.04655741047,7139.2201092562,0.5308
"conf.int",4134.4,1938.00236239767,6330.79763760233,0.5308
"conf.int",6754.5,3795.49537486228,9713.50462513772,0.5308
"conf.int",4505.56666666667,2626.33622254949,6384.79711078384,0.5308
"conf.int",4639.46666666667,3183.31211476433,6095.621218569,0.5308
"conf.int",4780.6,2316.93101171657,7244.26898828343,0.5308
"conf.int",5758.43333333333,3080.35163246281,8436.51503420385,0.5308
"conf.int",5644.63333333333,3817.27881948821,7471.98784717846,0.5308
"conf.int",5806,2767.20038367451,8844.79961632549,0.5308
"conf.int",4200.93333333333,1768.4509500048,6633.41571666187,0.5308
"conf.int",8477.6,4003.17725570255,12952.0227442975,0.5308
"conf.int",5326.83333333333,2993.32875549798,7660.33791116869,0.5308
"conf.int",5972.16666666667,2984.12760264887,8960.20573068446,0.5308
"conf.int",4552,2374.95596134142,6729.04403865858,0.5308
"conf.int",5438.16666666667,2905.15038633123,7971.18294700211,0.5308
"conf.int",5766.16666666667,3432.95654794149,8099.37678539184,0.5308
"conf.int",5684.1,3016.50802458635,8351.69197541365,0.5308
"conf.int",4897.46666666667,2719.67350569668,7075.25982763665,0.5308
"conf.int",3427.9,2119.04258674695,4736.75741325305,0.5308
"conf.int",6138.03333333333,3568.01132292134,8708.05534374533,0.5308
"conf.int",7167.53333333333,3311.73179935012,11023.3348673165,0.5308
"conf.int",5834.63333333333,2858.14846151834,8811.11820514833,0.5308
"conf.int",7189.36666666667,3512.12144211464,10866.6118912187,0.5308
"conf.int",4250.3,2618.40322874691,5882.19677125309,0.5308
"conf.int",6689.2,3306.83950131763,10071.5604986824,0.5308
"conf.int",3765.13333333333,2562.58857704195,4967.67808962472,0.5308
"conf.int",8007.03333333333,3723.16100560519,12290.9056610615,0.5308
"conf.int",5486.43333333333,3286.29280692791,7686.57385973876,0.5308
"conf.int",5607.7,2996.30643935753,8219.09356064247,0.5308
"conf.int",3755.93333333333,2374.88845164301,5136.97821502365,0.5308
"conf.int",6004.93333333333,3146.5649260649,8863.30174060177,0.5308
"conf.int",5015.16666666667,2243.75695069869,7786.57638263464,0.5308
"conf.int",6166.56666666667,2996.15981512258,9336.97351821076,0.5308
"conf.int",6182.43333333333,3390.86706240195,8973.99960426472,0.5308
"conf.int",5720.23333333333,2318.48512019414,9121.98154647253,0.5308
"conf.int",5298.93333333333,2865.13576262412,7732.73090404254,0.5308
